web-scraper-order,web-scraper-start-url,story-link,story-link-href,story-text
"1584588171-270","https://www.rnz.co.nz/news/the-wireless","The battle over Wellington’s ‘ugliest building’","https://www.rnz.co.nz/news/the-wireless/375279/the-battle-over-wellington-s-ugliest-building","The Gordon Wilson Flats were designed by, and named after the country’s most famous modernist architect, and built in the late 1950s as an urgent symbol of renewal. “The idea of modernism is to create new cities … this form of state housing was seen as a vision for what Wellington might look like in the future,” says Schrader."
"1584588169-235","https://www.rnz.co.nz/news/the-wireless","The life and death of David Cerven","https://www.rnz.co.nz/news/the-wireless/375259/the-life-and-death-of-david-cerven","On August 4, Vyrvova visited the morgue at Auckland City Hospital to formally identify Cerven’s body. She left New Zealand soon after. Back in Slovakia, friends fundraised to help pay for Cerven’s body to be cremated and returned to Dolny Kubin. His funeral was held on September 18, 2015."
"1584588169-205","https://www.rnz.co.nz/news/the-wireless","The life and death of David Cerven","https://www.rnz.co.nz/news/the-wireless/375259/the-life-and-death-of-david-cerven","Both officers shot."
"1584588165-65","https://www.rnz.co.nz/news/the-wireless","Crime and Punishment: Will freeing more prisoners work?","https://www.rnz.co.nz/news/the-wireless/375276/crime-and-punishment-will-freeing-more-prisoners-work",""
"1584588165-30","https://www.rnz.co.nz/news/the-wireless","Crime and Punishment: Will freeing more prisoners work?","https://www.rnz.co.nz/news/the-wireless/375276/crime-and-punishment-will-freeing-more-prisoners-work","On a cold Christchurch morning in July 1997, Nan Withers was brutally beaten with a jack handle while she was minding her son Norm’s menswear store. The 71-year-old’s attacker was on parole for armed robbery. He’d come into the store, which sold socks for $1, and admired a black fisherman’s knit jersey. “If Norm was here, dear, he’d want you to try it on,” Nan said to him, before he cracked her skull."
"1584588171-330","https://www.rnz.co.nz/news/the-wireless","The battle over Wellington’s ‘ugliest building’","https://www.rnz.co.nz/news/the-wireless/375279/the-battle-over-wellington-s-ugliest-building","The project is alternative way to preserve historical buildings. 
Photo: Image: Victoria University"
"1584588174-366","https://www.rnz.co.nz/news/the-wireless","The kids left bed-bound by chronic fatigue","https://www.rnz.co.nz/news/the-wireless/375278/the-children-left-bed-bound-by-fatigue","Unrest tells the story of Jennifer Brea's struggle to diagnose and treat her ME/CFS 
Photo: Screenshot"
"1584588165-50","https://www.rnz.co.nz/news/the-wireless","Crime and Punishment: Will freeing more prisoners work?","https://www.rnz.co.nz/news/the-wireless/375276/crime-and-punishment-will-freeing-more-prisoners-work","Between 2008 and 2010 the prison population crept up 8 percent. The biggest increase was yet to come."
"1584588171-278","https://www.rnz.co.nz/news/the-wireless","The battle over Wellington’s ‘ugliest building’","https://www.rnz.co.nz/news/the-wireless/375279/the-battle-over-wellington-s-ugliest-building","“They had been living in dives at the time, sharing bathrooms, and were desperate to move to brand new, warm homes,” says Schrader."
"1584588162-15","https://www.rnz.co.nz/news/the-wireless","In defence of trolls","https://www.rnz.co.nz/news/the-wireless/375275/in-defence-of-trolls","In an effort to interview a troll besides Farrier for this story, I searched reliably troll-heavy sites such as Stuff and the Fluoride Free NZ Facebook page and tried to make contact. It was suggested I look in the mirror and I quietly backed away. Possibly an understandable reaction as while reading the comments, it was sometimes hard to tell who was trolling and who was being trolled."
"1584588167-93","https://www.rnz.co.nz/news/the-wireless","Wireless Docs: The Forest of Tiriwa","https://www.rnz.co.nz/news/the-wireless/375277/wireless-docs-the-forest-of-tiriwa","Maunga Waitakere supplies drinking water to the wider region, and drives significant tourism value through its iconic scenery. With some Pākehā showing confusion over the recently established rāhui, now is the time to discuss the wider cultural life of the region."
"1584588171-320","https://www.rnz.co.nz/news/the-wireless","The battle over Wellington’s ‘ugliest building’","https://www.rnz.co.nz/news/the-wireless/375279/the-battle-over-wellington-s-ugliest-building","As you pass through the rooms, past tenants can be heard recounting their experiences, through your headset."
"1584588162-20","https://www.rnz.co.nz/news/the-wireless","In defence of trolls","https://www.rnz.co.nz/news/the-wireless/375275/in-defence-of-trolls","Ta-Nehisi Coates examines the power of the whiteness of Donald Trump for the Atlantic this week. 
Photo: AFP"
"1584588169-166","https://www.rnz.co.nz/news/the-wireless","The life and death of David Cerven","https://www.rnz.co.nz/news/the-wireless/375259/the-life-and-death-of-david-cerven","It was about 2.30pm, and they were back at their apartment in the city after viewing the Belmont flat. Cerven told her about the robberies, and showed her the information that was online, alongside his photograph. He started to cry. The couple drove to the Steedmans’ home, where they found Judith alone, cooking dinner."
"1584588171-262","https://www.rnz.co.nz/news/the-wireless","The battle over Wellington’s ‘ugliest building’","https://www.rnz.co.nz/news/the-wireless/375279/the-battle-over-wellington-s-ugliest-building","But should they be removing a 59-year-old building, no matter how unsightly, from the landscape at all?"
"1584588169-225","https://www.rnz.co.nz/news/the-wireless","The life and death of David Cerven","https://www.rnz.co.nz/news/the-wireless/375259/the-life-and-death-of-david-cerven","A third investigation, this time by the Independent Police Conduct Authority, also found the officers were not at fault, though the finding did criticise some decisions made that evening."
"1584588176-385","https://www.rnz.co.nz/news/the-wireless","The 1.5 generation","https://www.rnz.co.nz/news/the-wireless/375280/feature-the-1-5-generation","In my house, we speak a peculiar language called Konglish. It’s a frantic mix of Korean and English, coherent, perhaps, only to my family. There’s English spoken with Korean accents, Korean spoken with Kiwi accents, random English medical jargon from my parents' past careers, old-school Korean words courtesy of my grandparents, New Zealand slang and some te reo Māori scattered here and there. We make clever cross-linguistic puns but also bump up against Konglish's limits when trying to communicate during more serious and nuanced discussions."
"1584588169-139","https://www.rnz.co.nz/news/the-wireless","The life and death of David Cerven","https://www.rnz.co.nz/news/the-wireless/375259/the-life-and-death-of-david-cerven","Cerven’s first job in New Zealand was as a labourer for a Glenfield waterproofing company. He hoped to move his way up through the ranks, into a skilled position that would allow him to apply for residency. He and Vyrvova wanted to start a new life in New Zealand."
"1584588171-310","https://www.rnz.co.nz/news/the-wireless","The battle over Wellington’s ‘ugliest building’","https://www.rnz.co.nz/news/the-wireless/375279/the-battle-over-wellington-s-ugliest-building","But Housing New Zealand has gladly washed its hands of the flats, and Guilford says the university doesn’t want to sell, and has never considered it. “This site is so valuable to us and will continue to be over the next 100 years and more. We haven’t lost heart. We’ve got lots of options."
"1584588174-371","https://www.rnz.co.nz/news/the-wireless","The kids left bed-bound by chronic fatigue","https://www.rnz.co.nz/news/the-wireless/375278/the-children-left-bed-bound-by-fatigue","Vallings also travels around the country training GPs in recognising ME/CFS and speaks to support groups. Both understanding and diagnosis of the disease have improved enormously in New Zealand in the last few years, she says. “I used to see a lot of resistance but there’s far less nowadays. Most of the GPs I talk to are very receptive, actually, because I think the research has become much more mainstream and convincing now.” She says exciting work is being done around the world, including by University of Otago biochemist Warren Tate, coming ever closer to identifying the biomarker for ME/CFS, making it possible to develop a laboratory test to diagnose it."
